7126
YAL069W	334	648	648	1	1	0
YAL068W-A	537	791	648	1	1	1
YAL068C	1806	2168	791	2	1	2
YAL067W-A	2479	2706	2168	1	1	3
YAL067C	7234	9015	2706	2	1	4
YAL066W	10090	10398	9015	1	1	5
YAL065C	11564	11950	10398	2	1	6
YAL064W-B	12045	12425	11950	1	1	7
YAL064C-A	13362	13742	12425	2	1	8
YAL064W	21565	21849	13742	1	1	9
YAL063C-A	22394	22684	21849	2	1	10
YAL063C	23999	27967	22684	2	1	11
YAL062W	31566	32939	27967	1	1	12
YAL061W	33447	34700	32939	1	1	13
YAL060W	35154	36302	34700	1	1	14
YAL059C-A	36495	36917	36302	2	1	15
YAL059W	36508	37146	36917	1	1	16
YAL058W	37463	38971	37146	1	1	17
YAL056C-A	38695	39045	38971	2	1	18
YAL056W	39258	41900	39045	1	1	19
YAL055W	42176	42718	41900	1	1	20
YAL054C	42880	45021	42718	2	1	21
YAL053W	45898	48249	45021	1	1	22
YAL051W	48563	51706	48249	1	1	23
YAL049C	51854	52594	51706	2	1	24
YAL048C	52800	54788	52594	2	1	25
YAL047W-A	54583	54912	54788	1	1	26
YAL047C	54988	56856	54912	2	1	27
YAL046C	57028	57384	56856	2	1	28
YAL045C	57487	57795	57384	2	1	29
YAL044W-A	57517	57849	57795	1	1	30
YAL044C	57949	58461	57849	2	1	31
YAL043C	58694	61051	58461	2	1	32
YAL042C-A	61230	61607	61051	2	1	33
YAL042W	61315	62562	61607	1	1	34
YAL041W	62839	65403	62562	1	1	35
YAL040C	65777	67519	65403	2	1	36
YAL039C	68715	69524	67519	2	1	37
YAL038W	71785	73287	69524	1	1	38
YAL037C-B	72325	73299	73287	2	1	39
YAL037C-A	73425	73517	73299	2	1	40
YAL037W	74019	74822	73517	1	1	41
YAL036C	75042	76151	74822	2	1	42
YAL035W	76426	79434	76151	1	1	43
YAL034C-B	79488	79841	79434	2	1	44
YAL034W-A	79717	80586	79841	1	1	45
YAL034C	80709	81950	80586	2	1	46
YAL033W	82705	83226	81950	1	1	47
YAL032C	83334	84473	83226	2	1	48
YAL031W-A	84668	84976	84473	1	1	49
YAL031C	84748	87030	84976	2	1	50
YAL030W	87285	87751	87030	1	2	51
YAL029C	87854	92269	87751	2	1	53
YAL028W	92899	94485	92269	1	1	54
YAL027W	94686	95471	94485	1	1	55
YAL026C-A	95385	95822	95471	2	1	56
YAL026C	95629	99696	95822	2	1	57
