I	87388	87500	1	1	1	4	0	29
I	139188	139218	0	0	1	6	0	11
I	142254	142619	1	1	1	268	0	33
II	45645	45977	1	1	0	186	0	33
II	47059	47146	2	2	1	11	0	17
II	60194	60697	2	2	1	150	0	32
II	89133	89440	2	2	0	62	0	24
II	110880	110948	1	1	1	1	0	7
II	125155	125270	1	1	1	2	0	30
II	142750	142846	2	2	1	5	0	18
II	168425	168808	1	1	1	140	0	33
II	170677	170804	1	1	1	27	0	28
II	186353	186427	2	2	1	9	0	28
II	332876	333386	1	1	1	97	0	33
II	393181	393510	1	1	1	43	0	29
II	407028	407122	2	2	1	167	0	30
II	414754	415259	2	2	1	89	0	24
II	426517	426873	2	2	1	1	0	18
II	464106	464165	2	4	0	1	0	23
II	592417	592768	2	2	1	124	0	32
II	604515	604927	1	1	1	420	0	33
II	606281	606668	1	1	1	73	0	33
II	679943	680039	2	2	1	1	0	32
III	90897	90928	0	0	1	2	0	9
III	107034	107110	1	1	1	41	0	31
III	107192	107287	1	1	1	14	0	29
III	177907	178213	2	2	1	235	0	31
III	227979	227997	0	0	1	22	0	31
III	293940	293993	1	1	1	28	0	15
IV	65307	65377	1	1	1	14	0	14
IV	117667	118157	1	1	1	139	0	28
IV	216158	216489	1	1	0	8	0	18
IV	217603	218007	1	1	1	96	0	33
IV	230020	230320	1	1	1	70	0	28
IV	239399	239509	2	2	1	41	0	12
IV	307334	307765	2	2	1	44	0	32
IV	308428	308792	1	1	1	129	0	31
IV	322283	322703	1	1	1	456	0	34
IV	337525	337634	1	1	1	14	0	31
IV	340811	341219	2	2	0	46	0	26
IV	399362	399484	1	1	1	32	0	33
IV	427467	427574	1	1	0	6	0	20
IV	431387	431472	2	2	1	30	0	25
IV	450869	451381	1	3	0	3	0	17
IV	458018	458097	2	2	1	10	0	4
IV	491560	491898	1	1	1	281	0	33
IV	546796	546840	1	1	0	3	0	13
IV	569634	569723	2	2	1	3	0	24
IV	579479	580017	1	1	1	186	0	33
IV	601032	601139	2	2	0	1	0	17
IV	629906	630173	1	1	1	1	0	30
IV	652781	653523	1	1	0	37	0	31
IV	715248	715358	2	2	1	4	0	16
IV	733703	733775	2	2	1	14	0	17
IV	1236843	1237608	1	1	1	32	0	32
IV	1266770	1266861	2	2	1	6	0	29
IV	1319618	1319697	2	2	1	50	0	23
IV	1319721	1319816	2	2	1	45	0	23
IV	1329771	1329872	1	1	0	1	0	13
IV	1355237	1355550	2	2	1	31	0	27
IV	1359970	1360404	1	1	1	259	0	34
IV	1401801	1402184	1	1	1	414	0	34
IV	1450458	1450846	2	2	1	1195	0	29
IX	23657	23764	1	1	0	1	0	28
