I	12680	12727	1	1	0	2	0	21
I	26161	26430	1	1	0	0	1	19
I	87388	87500	1	1	1	2	0	22
I	139188	139218	0	0	1	2	747	33
I	142254	142619	1	1	1	168	0	33
I	181169	181211	2	2	0	0	1	28
I	181179	181210	0	0	1	0	1426	33
I	204941	205210	2	2	0	0	1	19
I	206113	206517	1	1	0	1	3	31
II	36435	36452	0	0	1	0	6	31
II	45645	45977	1	1	0	192	0	33
II	47059	47146	2	2	1	1	0	6
II	60194	60697	2	2	1	81	0	32
II	89133	89440	2	2	0	37	0	33
II	110421	110505	2	2	1	3	0	28
II	125155	125270	1	1	1	17	0	22
II	142750	142846	2	2	1	7	0	11
II	168425	168808	1	1	1	97	0	33
II	170677	170804	1	1	1	6	0	10
II	186353	186427	2	2	1	1	0	31
II	332876	333386	1	1	1	132	0	33
II	366503	366584	2	2	1	5	0	8
II	393181	393510	1	1	1	57	0	33
II	407028	407122	2	2	1	102	0	33
II	414754	415259	2	2	1	133	0	32
II	426517	426873	2	2	1	6	0	6
II	462210	462289	1	1	1	3	0	25
II	479346	479434	1	1	1	8	0	20
II	592417	592768	2	2	1	54	0	32
II	604515	604927	1	1	1	270	0	33
II	606281	606668	1	1	1	56	0	33
II	679943	680039	2	2	1	3	0	16
III	90887	90929	2	2	0	0	1	28
III	90897	90928	0	0	1	8	1421	33
III	101634	101700	2	2	1	4	0	4
III	107034	107110	1	1	1	10	0	30
III	107192	107287	1	1	1	29	0	32
III	173116	173198	2	2	1	10	0	25
III	177907	178213	2	2	1	164	0	31
III	227979	227997	0	0	1	11	0	31
III	234584	234922	0	0	0	3	0	31
III	293851	293993	1	1	0	1	0	16
III	293940	293993	1	1	1	20	0	26
IV	65307	65377	1	1	1	13	0	21
IV	117667	118157	1	1	1	179	0	34
IV	122078	122176	1	1	0	2	0	21
IV	216158	216489	1	1	0	25	0	28
IV	217603	218007	1	1	1	148	0	32
IV	230020	230320	1	1	1	36	0	31
IV	239399	239509	2	2	1	24	0	30
IV	267726	267806	1	1	1	4	0	4
IV	306806	307073	2	2	0	1	0	20
IV	307334	307765	2	2	1	64	0	30
IV	308428	308792	1	1	1	79	0	33
IV	322283	322703	1	1	1	191	0	32
IV	337525	337634	1	1	1	16	0	29
IV	340811	341219	2	2	0	36	0	32
IV	359614	359636	0	0	1	0	125	32
IV	384371	384496	1	1	0	1	0	14
IV	399362	399484	1	1	1	23	0	34
IV	427413	427466	1	1	0	1	0	22
IV	431387	431472	2	2	1	24	0	30
IV	491560	491898	1	1	1	97	1	33
IV	569634	569723	2	2	1	1	0	10
IV	579479	580017	1	1	1	153	0	33
IV	601032	601139	2	2	0	0	2	26
IV	601074	601097	2	2	0	0	1	17
IV	601074	601139	2	2	0	2	2	29
IV	601074	601163	2	2	0	0	1	17
IV	629906	630173	1	1	1	38	0	29
IV	733703	733775	2	2	1	12	0	11
